ID,Rating,Tomatometer,Weighted_Score,Audience_Score,Awards,Nominations
1281,PG-13,43,46,53,NULL,NULL
1360,R,76,79,85,2,6
1365,R,85,79,67,NULL,NULL
1367,PG,70,74,82,NULL,NULL
1368,R,86,85,85,NULL,NULL
1369,R,33,42,60,NULL,NULL
1370,R,41,42,45,NULL,NULL
1371,PG,65,68,74,NULL,NULL
1372,R,63,72,90,NULL,NULL
1375,PG-13,31,30,31,NULL,NULL
1378,,68,71,77,NULL,NULL
1380,PG-13,29,42,69,NULL,NULL
1381,PG-13,52,59,74,NULL,NULL
1389,R,94,87,74,NULL,NULL
1392,R,95,93,91,1,1
1402,PG-13,67,73,87,NULL,NULL
1406,PG-13,15,20,31,NULL,NULL
1408,PG-13,39,39,40,NULL,NULL
1411,R,65,63,62,NULL,NULL
1412,R,96,90,79,NULL,NULL
1415,R,29,44,75,NULL,NULL
1422,R,91,92,94,4,5
1427,R,59,63,74,NULL,NULL
1428,R,66,65,64,NULL,NULL
1429,R,79,81,85,NULL,NULL
1430,R,95,91,83,1,1
1435,,92,88,82,NULL,NULL
1439,PG-13,51,55,64,NULL,NULL
1440,R,80,80,82,NULL,NULL
1443,R,80,80,81,NULL,NULL
1450,R,25,27,33,NULL,NULL
1452,PG-13,74,69,61,NULL,NULL
1487,R,17,27,48,NULL,NULL
1491,PG,91,87,79,NULL,NULL
1492,PG-13,32,38,50,NULL,NULL
1493,PG-13,15,24,42,NULL,NULL
1495,R,39,50,72,NULL,NULL
1496,PG,3,16,43,NULL,NULL
1497,PG,35,45,67,NULL,NULL
1498,PG-13,37,40,46,NULL,NULL
1499,PG,19,24,34,NULL,NULL
1523,R,87,87,89,1,1
1534,R,9,18,36,NULL,NULL
1535,R,65,68,75,NULL,NULL
1537,R,77,69,53,NULL,NULL
1538,R,86,85,84,NULL,NULL
1541,,92,87,77,NULL,NULL
1542,R,80,84,93,NULL,NULL
1547,R,76,79,85,NULL,NULL
1548,R,93,90,84,NULL,NULL
1551,PG-13,4,13,32,NULL,NULL
1552,PG-13,92,86,76,NULL,NULL
1562,R,72,70,66,NULL,NULL
1571,PG-13,82,83,86,NULL,NULL
1572,R,58,66,83,NULL,NULL
1573,R,70,70,70,NULL,NULL
1574,PG-13,86,85,83,6,13
1576,R,30,41,65,NULL,NULL
1577,R,19,32,60,NULL,NULL
1578,R,93,93,93,2,8
1579,R,65,69,79,NULL,NULL
1581,TVPG,33,35,41,NULL,NULL
1584,PG-13,92,82,64,NULL,NULL
1586,PG-13,46,52,65,NULL,NULL
1587,PG-13,90,89,89,NULL,NULL
1590,PG-13,28,37,56,NULL,NULL
1592,R,77,81,89,NULL,NULL
1593,PG,71,58,35,NULL,NULL
1597,PG-13,84,82,79,NULL,NULL
1598,R,75,75,77,NULL,NULL
1607,R,97,95,93,NULL,NULL
1613,R,25,36,59,NULL,NULL
1619,R,46,54,70,NULL,NULL
1620,R,16,29,57,NULL,NULL
1621,R,88,87,85,NULL,NULL
1623,R,75,74,73,NULL,NULL
1624,PG-13,83,80,75,NULL,NULL
1630,R,88,85,80,NULL,NULL
1632,R,85,86,90,1,7
1633,PG-13,76,78,84,NULL,NULL
1634,PG,44,44,44,NULL,NULL
1636,PG-13,50,47,43,NULL,NULL
1637,R,95,88,76,2,3
1639,PG-13,4,8,16,NULL,NULL
1640,R,74,78,88,NULL,NULL
1641,,89,84,76,NULL,NULL
1642,,83,76,63,NULL,NULL
1645,R,68,73,85,NULL,NULL
1646,PG-13,70,75,87,NULL,NULL
1647,PG-13,43,48,58,NULL,NULL
1648,,90,80,60,NULL,NULL
1656,PG,27,34,48,NULL,NULL
1669,PG,88,88,88,1,3
1677,PG-13,79,81,87,2,6
1683,R,8,21,49,NULL,NULL
1689,PG,65,60,53,NULL,NULL
1690,R,59,56,53,NULL,NULL
1691,R,44,42,39,NULL,NULL
1694,,94,90,82,NULL,NULL
1696,R,55,62,78,NULL,NULL
1700,R,91,90,90,1,1
1701,R,58,63,75,NULL,NULL
1710,R,75,71,64,NULL,NULL
1713,R,80,75,67,NULL,NULL
1715,PG-13,71,73,77,2,7
1717,PG-13,11,20,40,NULL,NULL
1722,R,28,35,50,NULL,NULL
1724,PG-13,67,67,69,NULL,NULL
1726,PG-13,79,78,78,NULL,NULL
1727,PG-13,25,30,41,NULL,NULL
1729,PG-13,63,62,60,NULL,NULL
1730,R,72,73,75,NULL,NULL
1731,R,44,45,49,NULL,NULL
1734,PG-13,46,51,63,NULL,NULL
1735,PG-13,13,18,30,NULL,NULL
1738,PG-13,28,36,53,NULL,NULL
1770,R,78,80,84,NULL,NULL
1771,PG-13,80,78,75,NULL,NULL
1775,PG,12,25,52,NULL,NULL
1777,R,82,78,70,NULL,NULL
1781,PG,93,88,79,2,2
1788,PG-13,68,65,61,NULL,NULL
1792,PG-13,61,52,35,NULL,NULL
