MOVIE_ID,BUDGET,REVENUE,POPULARITY,RUNTIME,VOTE_AVERAGE,VOTE_COUNT,MOVIE_TITLE,RELEASE_YEAR,RELEASE_DATE,yt_releaseYear,yt_releaseDate,yt_likes,yt_views,time_trailerToMovie_Days,Rating,Tomatometer,Weighted_Score,Audience_Score,Awards,Nominations
312221.0,37000000.0,173567581.0,71.0,133.0,7.0,6730.0,creed,2015.0,2015-11-25,2015.0,2015-06-30,155386.0,28205707.0,148.0,"    PG-13
Name: Rating, dtype: object",95.0,93.0,89.0,0.0,0.0
313369.0,30000000.0,447407695.0,26.0,129.0,7.0,15270.0,la la land,2016.0,2016-11-29,2016.0,2016-11-03,189263.0,41355353.0,26.0,"    PG-13
Name: Rating, dtype: object",91.0,87.0,81.0,6.0,14.0
314365.0,20000000.0,98690254.0,19.0,129.0,7.0,7623.0,spotlight,2015.0,2015-11-06,2015.0,2015-07-29,352.0,88429.0,100.0,"    R
Name: Rating, dtype: object",97.0,95.0,93.0,2.0,6.0
314385.0,10000000.0,3727746.0,10.0,122.0,5.0,537.0,by the sea,2015.0,2015-11-12,2015.0,2015-08-07,2078.0,1426603.0,97.0,"    R
Name: Rating, dtype: object",35.0,32.0,28.0,0.0,0.0
315162.0,90000000.0,480000000.0,597.0,103.0,8.0,5629.0,puss in boots: the last wish,2022.0,2022-12-07,2022.0,2022-11-15,21307.0,24254195.0,22.0,"    PG
Name: Rating, dtype: object",95.0,94.0,94.0,0.0,0.0
315635.0,175000000.0,880166924.0,89.0,133.0,7.0,20036.0,spider-man: homecoming,2017.0,2017-07-05,2017.0,2017-03-28,337288.0,28330653.0,99.0,"    PG-13
Name: Rating, dtype: object",92.0,90.0,87.0,0.0,0.0
315664.0,29000000.0,48902953.0,12.0,110.0,6.0,1354.0,florence foster jenkins,2016.0,2016-05-06,2016.0,2016-07-12,56.0,616700.0,-67.0,"    PG-13
Name: Rating, dtype: object",88.0,81.0,68.0,0.0,0.0
315837.0,110000000.0,169801921.0,26.0,107.0,6.0,7442.0,ghost in the shell,2017.0,2017-03-29,2017.0,2017-03-20,7023.0,11334594.0,9.0,"    PG-13
Name: Rating, dtype: object",43.0,45.0,51.0,0.0,0.0
316023.0,33000000.0,77068246.0,14.0,98.0,6.0,2299.0,mike and dave need wedding dates,2016.0,2016-07-07,2016.0,2016-02-08,24596.0,8890533.0,150.0,"    R
Name: Rating, dtype: object",38.0,42.0,51.0,0.0,0.0
316727.0,10000000.0,118587880.0,33.0,105.0,6.0,4815.0,the purge: election year,2016.0,2016-06-29,2016.0,2016-02-10,52114.0,11437085.0,140.0,"    R
Name: Rating, dtype: object",55.0,52.0,48.0,0.0,0.0
317557.0,15000000.0,10367161.0,11.0,124.0,7.0,376.0,queen of katwe,2016.0,2016-09-23,2016.0,2016-05-10,22091.0,3668302.0,136.0,"    PG
Name: Rating, dtype: object",94.0,91.0,86.0,0.0,0.0
318846.0,28000000.0,133346506.0,25.0,131.0,7.0,8084.0,the big short,2015.0,2015-12-11,2015.0,2015-09-22,48468.0,12813866.0,80.0,"    R
Name: Rating, dtype: object",89.0,88.0,88.0,1.0,5.0
319888.0,23000000.0,46152411.0,14.0,106.0,7.0,1933.0,eddie the eagle,2016.0,2016-02-25,2015.0,2015-12-17,14416.0,5689731.0,70.0,"    PG-13
Name: Rating, dtype: object",81.0,81.0,82.0,0.0,0.0
320288.0,200000000.0,252442974.0,33.0,114.0,5.0,5779.0,dark phoenix,2019.0,2019-06-05,2018.0,2018-09-27,244876.0,19938056.0,251.0,"    PG-13
Name: Rating, dtype: object",22.0,36.0,64.0,0.0,0.0
321258.0,10000000.0,73929392.0,23.0,97.0,5.0,3478.0,the boy,2016.0,2016-01-22,2015.0,2015-01-23,182.0,965323.0,364.0,"    TVG
Name: Rating, dtype: object",78.0,76.0,73.0,1.0,1.0
321612.0,160000000.0,1266115964.0,50.0,129.0,6.0,14687.0,beauty and the beast,2017.0,2017-03-16,2017.0,2017-01-31,306271.0,39101374.0,44.0,"    PG
Name: Rating, dtype: object",71.0,74.0,80.0,0.0,0.0
321697.0,30000000.0,34441873.0,11.0,122.0,6.0,3822.0,steve jobs,2015.0,2015-10-09,2015.0,2015-07-01,77730.0,16288078.0,100.0,"    R
Name: Rating, dtype: object",85.0,81.0,73.0,0.0,0.0
321741.0,35000000.0,50363790.0,17.0,123.0,7.0,2343.0,concussion,2015.0,2015-11-12,2015.0,2015-08-31,28720.0,19094937.0,73.0,"    PG-13
Name: Rating, dtype: object",58.0,63.0,74.0,0.0,0.0
323675.0,40000000.0,124827316.0,21.0,102.0,6.0,1526.0,ride along 2,2016.0,2016-01-14,2015.0,2015-08-13,54991.0,15662022.0,154.0,"    PG-13
Name: Rating, dtype: object",14.0,25.0,48.0,0.0,0.0
323676.0,29000000.0,78636257.0,12.0,91.0,5.0,1229.0,the boss,2016.0,2016-04-07,2015.0,2015-11-20,5423.0,2965194.0,139.0,"    PG
Name: Rating, dtype: object",46.0,60.0,89.0,0.0,0.0
323677.0,5000000.0,24804129.0,12.0,134.0,7.0,1423.0,race,2016.0,2016-02-19,2015.0,2015-04-09,11752.0,4247851.0,316.0,"    PG-13
Name: Rating, dtype: object",63.0,67.0,77.0,0.0,0.0
324552.0,40000000.0,171539887.0,180.0,122.0,7.0,11586.0,john wick: chapter 2,2017.0,2017-02-08,2016.0,2016-12-19,45519.0,9277508.0,51.0,"    R
Name: Rating, dtype: object",89.0,87.0,85.0,0.0,0.0
324668.0,120000000.0,415484914.0,27.0,123.0,6.0,5238.0,jason bourne,2016.0,2016-07-27,2016.0,2016-04-21,51979.0,15670014.0,97.0,"    PG-13
Name: Rating, dtype: object",54.0,54.0,55.0,0.0,0.0
324849.0,80000000.0,311950384.0,22.0,104.0,7.0,4451.0,the lego batman movie,2017.0,2017-02-08,2016.0,2016-11-04,66865.0,16288116.0,96.0,"    PG
Name: Rating, dtype: object",90.0,86.0,80.0,0.0,0.0
324857.0,90000000.0,375464627.0,290.0,117.0,8.0,12812.0,spider-man: into the spider-verse,2018.0,2018-12-14,2018.0,2018-06-06,581880.0,40420077.0,191.0,"    PG
Name: Rating, dtype: object",97.0,95.0,94.0,1.0,1.0
326423.0,20000000.0,55030051.0,12.0,112.0,6.0,407.0,barbershop: the next cut,2016.0,2016-04-15,2015.0,2015-11-24,15421.0,4251308.0,143.0,"    PG-13
Name: Rating, dtype: object",90.0,82.0,66.0,0.0,0.0
328387.0,19000000.0,85241496.0,19.0,96.0,7.0,6443.0,nerve,2016.0,2016-06-27,2016.0,2016-05-11,70270.0,11786100.0,47.0,"    PG-13
Name: Rating, dtype: object",67.0,66.0,66.0,0.0,0.0
329440.0,10000000.0,37608299.0,13.0,95.0,5.0,1604.0,the forest,2016.0,2016-01-07,2016.0,2016-01-08,6333.0,1296563.0,-1.0,"    NaN
Name: Rating, dtype: object",100.0,86.0,61.0,0.0,0.0
329833.0,50000000.0,56722693.0,13.0,100.0,4.0,2032.0,zoolander 2,2016.0,2016-02-06,2015.0,2015-11-18,87900.0,22487713.0,80.0,"    PG-13
Name: Rating, dtype: object",22.0,21.0,20.0,0.0,0.0
329865.0,47000000.0,203388186.0,44.0,116.0,7.0,16193.0,arrival,2016.0,2016-11-10,2016.0,2016-08-16,131001.0,24350270.0,86.0,"    PG-13
Name: Rating, dtype: object",94.0,90.0,82.0,1.0,8.0
329996.0,170000000.0,353284621.0,24.0,112.0,6.0,4009.0,dumbo,2019.0,2019-03-27,2018.0,2018-11-15,254870.0,21256747.0,132.0,"    PG
Name: Rating, dtype: object",46.0,46.0,48.0,0.0,0.0
330483.0,10000000.0,18730891.0,14.0,111.0,7.0,1744.0,the choice,2016.0,2016-02-04,2015.0,2015-10-01,44411.0,12662838.0,126.0,"    PG-13
Name: Rating, dtype: object",11.0,27.0,61.0,0.0,0.0
